EntryDate,ExitDate,Symbol,Rmult,Regime,Side,SideMode,StopATR,TargetATR,__uid
2026-03-09,2026-03-09,DMCC,-1.0,bull,long,both,1.1,3.3,1
2026-03-09,2026-03-09,SHOPERSTOP,-0.4732020337681171,bull,long,both,1.1,3.3,2
2026-03-09,2026-03-09,DOLPHIN,1.8467003504767008,bull,long,both,1.1,3.3,3
2026-03-09,2026-03-09,TATAINVEST,-1.0,bull,long,both,1.1,3.3,4
2026-03-09,2026-03-09,ARTEMISMED,-1.0,bull,long,both,1.1,3.3,5
2026-03-09,2026-03-09,DIXON,-1.0,bull,long,both,1.1,3.3,6
2026-03-09,2026-03-09,ISHANCH,-1.0,bull,long,both,1.1,3.3,7
2026-03-09,2026-03-09,ZYDUSWELL,-1.0,bull,long,both,1.1,3.3,8
2026-03-09,2026-03-09,SECURKLOUD,-1.0696990718120654,bull,long,both,1.1,3.3,9
2026-03-09,2026-03-09,NTPCGREEN,-1.0,bull,long,both,1.1,3.3,10
2026-03-09,2026-03-09,HAL,0.0865305080970792,bull,long,both,1.1,3.3,11
2026-03-09,2026-03-09,SWIGGY,0.1052971301755078,bull,long,both,1.1,3.3,12
2026-03-09,2026-03-09,SHAH,-1.0,bull,long,both,1.1,3.3,13
2026-03-09,2026-03-09,JAGRAN,-1.0,bull,long,both,1.1,3.3,14
2026-03-09,2026-03-09,ACE,-1.414899693966741,bull,long,both,1.1,3.3,15
2026-03-09,2026-03-09,HUBTOWN,-1.0,bull,long,both,1.1,3.3,16
2026-03-09,2026-03-09,VBL,-1.0,bull,long,both,1.1,3.3,17
2026-03-09,2026-03-09,MGSL-SM,-1.879971617394829,bull,long,both,1.1,3.3,18
2026-03-09,2026-03-09,SUPREMEPWR-SM,1.090123203616305,bull,long,both,1.1,3.3,19
2026-03-09,2026-03-09,DAMODARIND,-1.0,bull,long,both,1.1,3.3,20
2026-03-09,2026-03-09,SVLL,-0.3341629754350045,bull,long,both,1.1,3.3,22
2026-03-09,2026-03-09,TAINWALCHM,0.8065528611268538,bear,short,both,1.1,1.65,23
2026-03-09,2026-03-09,SRGHFL,-1.0,bull,long,both,1.1,3.3,24
2026-03-09,2026-03-09,SGMART,1.5000000000000044,bear,short,both,1.1,1.65,26
2026-03-09,2026-03-09,ONGC,-1.7664657901660237,bear,short,both,1.1,1.65,27
2026-03-09,2026-03-09,UNITEDTEA,-0.158005336219799,bear,short,both,1.1,1.65,28
2026-03-09,2026-03-09,GEMAROMA,0.8609371174373439,bear,short,both,1.1,1.65,29
2026-03-09,2026-03-09,VHL,-0.7703651583616766,bull,long,both,1.1,3.3,30
2026-03-09,2026-03-09,AMJLAND,-1.0,bull,long,both,1.1,3.3,31
2026-03-09,2026-03-09,BDL,-1.0,bull,long,both,1.1,1.65,32
2026-03-09,2026-03-09,ASTRON,-0.5111453095648286,bull,long,both,1.1,3.3,33
2026-03-09,2026-03-09,DCXINDIA,-1.0,bull,long,both,1.1,2.2,34
2026-03-09,2026-03-09,764NABAR31-N2,0.0397002445686152,bear,short,both,1.1,1.65,35
2026-03-09,2026-03-09,ELGNZ-SM,-0.0080342066197142,bull,long,both,1.1,1.65,36
2026-03-09,2026-03-09,DMCC,-1.0,bull,long,both,1.1,3.3,37
2026-03-09,2026-03-09,SHOPERSTOP,-0.4732020337681171,bull,long,both,1.1,3.3,38
2026-03-09,2026-03-09,DOLPHIN,1.8467003504767008,bull,long,both,1.1,3.3,39
2026-03-09,2026-03-09,TATAINVEST,-1.0,bull,long,both,1.1,3.3,40
2026-03-09,2026-03-09,ARTEMISMED,-1.0,bull,long,both,1.1,3.3,41
2026-03-09,2026-03-09,DIXON,-1.0,bull,long,both,1.1,3.3,42
2026-03-09,2026-03-09,ISHANCH,-1.0,bull,long,both,1.1,3.3,43
2026-03-09,2026-03-09,ZYDUSWELL,-1.0,bull,long,both,1.1,3.3,44
2026-03-09,2026-03-09,SECURKLOUD,-1.0696990718120654,bull,long,both,1.1,3.3,45
2026-03-09,2026-03-09,NTPCGREEN,-1.0,bull,long,both,1.1,3.3,46
2026-03-09,2026-03-09,HAL,0.0865305080970792,bull,long,both,1.1,3.3,47
2026-03-09,2026-03-09,SWIGGY,0.1052971301755078,bull,long,both,1.1,3.3,48
2026-03-09,2026-03-09,SHAH,-1.0,bull,long,both,1.1,3.3,49
2026-03-09,2026-03-09,JAGRAN,-1.0,bull,long,both,1.1,3.3,50
