symbol,signal_date,entry_date,side,regime,side_mode,stop_atr,target_atr,stop_r,tgt_r,atr_period,entry_price,stop_price,target_price,atr_value,px_ok,px_ref_date,px_ref_mode,expr_score_raw,expr_valid,expr_score,rr_pred,rr_choice_score,gate_mult_now,expr_score_adj
DMCC,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,223.8800048828125,211.75269701421678,260.26192848859966,11.024825096130371,1,2026-03-06,close_prev_bar,0.9333477,1,0.9333477,,0.9333477,1.0,0.9333477
SHOPERSTOP,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,311.3500061035156,290.7456990544513,373.16292725070866,18.73118782043457,1,2026-03-06,close_prev_bar,0.82722586,1,0.82722586,,0.82722586,1.0,0.82722586
DOLPHIN,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,417.70001220703125,384.69520897854886,516.7144218924784,30.004365921020508,1,2026-03-06,close_prev_bar,0.7500168,1,0.7500168,,0.7500168,1.0,0.7500168
TATAINVEST,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,654.8499755859375,624.5246075733062,745.8260796238314,27.56851577758789,1,2026-03-06,close_prev_bar,0.74666715,1,0.74666715,,0.74666715,1.0,0.74666715
ARTEMISMED,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,233.89999389648438,224.10274417623066,263.2917430572455,8.906590461730957,1,2026-03-06,close_prev_bar,0.74202144,1,0.74202144,,0.74202144,1.0,0.74202144
DIXON,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,10251.0,9811.832174319185,11568.503477042446,399.24346923828125,1,2026-03-06,close_prev_bar,0.7309564,1,0.7309564,,0.7309564,1.0,0.7309564
ISHANCH,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,60.77000045776367,56.54025092493947,73.45924905623627,3.845226764678955,1,2026-03-06,close_prev_bar,0.6845897,1,0.6845897,,0.6845897,1.0,0.6845897
ZYDUSWELL,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,385.95001220703125,372.54810075322257,426.1557465684573,12.183555603027344,1,2026-03-06,close_prev_bar,0.6603702,1,0.6603702,,0.6603702,1.0,0.6603702
SECURKLOUD,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,22.700000762939453,21.110768045312,27.467698915821813,1.4447569847106934,1,2026-03-06,close_prev_bar,0.643379,1,0.643379,,0.643379,1.0,0.643379
NTPCGREEN,2026-03-06,2026-03-09,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,88.25,85.9121175736106,95.2636472791682,2.12534761428833,1,2026-03-06,close_prev_bar,0.59096915,1,0.59096915,,0.59096915,1.0,0.59096915
