symbol,signal_date,entry_date,side,regime,side_mode,stop_atr,target_atr,stop_r,tgt_r,atr_period,ref_date,entry_price,stop_price,target_price,atr_value,px_ok,expr_score_raw,expr_valid,expr_score,rr_pred,rr_choice_score,gate_mult_now,expr_score_adj
EQUIPPP-BE,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,16.479999542236328,15.492587926443889,19.442234389613645,0.8976469039916992,1,1.0741218,1,1.0741218,,1.0741218,1.0,1.0741218
EQUAL50ADD,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,326.0,318.81409219425575,347.55772341723275,6.5326433181762695,1,0.8477857,1,0.8477857,,0.8477857,1.0,0.8477857
SPECTSTM-SM,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,72.0,66.68818486144727,87.9354454156582,4.828922748565674,1,0.7842135,1,0.7842135,,0.7842135,1.0,0.7842135
PROPEQUITY-SM,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,189.89999389648438,179.61796938545,220.74606742958747,9.347294807434082,1,0.73797923,1,0.73797923,,0.73797923,1.0,0.73797923
POWERMECH,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,2015.0,1929.086835906437,2272.739492280689,78.10287475585938,1,0.7125306,1,0.7125306,,0.7125306,1.0,0.7125306
ZENITHEXPO,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,192.10000610351562,182.79706381661367,220.00883296422148,8.457220077514648,1,0.6936132,1,0.6936132,,0.6936132,1.0,0.6936132
AERON-SM,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,89.94999694824219,86.45832173408866,100.42502259070278,3.1742501258850098,1,0.6731649,1,0.6731649,,0.6731649,1.0,0.6731649
FLEXIADD,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,9.640000343322754,9.356592234786898,10.49022466893032,0.2576437294483185,1,0.6728256,1,0.6728256,,0.6728256,1.0,0.6728256
NAZARA,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,242.0,230.65176824768605,276.04469525694185,10.316574096679688,1,0.67251945,1,0.67251945,,0.67251945,1.0,0.67251945
MORARJEE-BZ,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,6.909999847412109,6.355483579537733,8.573548651035239,0.5041056871414185,1,0.64911574,1,0.64911574,,0.64911574,1.0,0.64911574
TOP10ADD,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,90.0,87.68409447418765,96.94771657743706,2.1053686141967773,1,0.6439897,1,0.6439897,,0.6439897,1.0,0.6439897
BBTCL,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,175.0,166.2613981260256,201.2158056219232,7.944183349609375,1,0.62859714,1,0.62859714,,0.62859714,1.0,0.62859714
ABSLNN50ET,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,72.0,69.78722209902725,78.63833370291826,2.0116162300109863,1,0.60885346,1,0.60885346,,0.60885346,1.0,0.60885346
VIDHIING,2026-03-13,2026-03-16,long,bull,both,1.100000023841858,3.3000000715255737,1.1,3.3,14,2026-03-13,300.04998779296875,283.693524673712,349.11937715073907,14.869511604309082,1,0.5761191,1,0.5761191,,0.5761191,1.0,0.5761191
