pos_id,entry_date,symbol,side,regime,side_mode,stop_r,tgt_r,risk_amt,gate_mult,score,ref_date,ref_atr_value,expr_score,expr_score_adj,rr_pred,model_run
1,2026-03-24,GRMOVER,long,bull,both,1.1,3.3,5000.0,1.0,1.2609989643096924,2026-03-23,5.152020454406738,1.2609989643096924,1.2609989643096924,,2026-03-23
2,2026-03-24,648GS2035-GS,long,bull,both,1.1,3.3,5000.0,1.0,1.1309375762939453,2026-03-23,0.9966568946838379,1.1309375762939453,1.1309375762939453,,2026-03-23
3,2026-03-24,BBL,long,bull,both,1.1,3.3,5000.0,1.0,1.0096487998962402,2026-03-23,88.97223663330078,1.0096487998962402,1.0096487998962402,,2026-03-23
4,2026-03-24,GROWWEV,long,bull,both,1.1,3.3,5000.0,1.0,0.9297097325325012,2026-03-23,0.8426851034164429,0.9297097325325012,0.9297097325325012,,2026-03-23
5,2026-03-24,RSWM,long,bull,both,1.1,3.3,5000.0,1.0,0.7628905177116394,2026-03-23,5.959397315979004,0.7628905177116394,0.7628905177116394,,2026-03-23
6,2026-03-24,NIITMTS,long,bull,both,1.1,3.3,5000.0,1.0,0.7601171135902405,2026-03-23,15.977067947387695,0.7601171135902405,0.7601171135902405,,2026-03-23
7,2026-03-24,HCLTECH,long,bull,both,1.1,3.3,5000.0,1.0,0.7597084641456604,2026-03-23,40.91749572753906,0.7597084641456604,0.7597084641456604,,2026-03-23
8,2026-03-24,RADAAN,long,bull,both,1.1,3.3,5000.0,1.0,0.5925673842430115,2026-03-23,0.26603710651397705,0.5925673842430115,0.5925673842430115,,2026-03-23
9,2026-03-24,THYROCARE,long,bull,both,1.1,3.3,5000.0,1.0,0.5826596617698669,2026-03-23,18.522075653076172,0.5826596617698669,0.5826596617698669,,2026-03-23
10,2026-03-24,VHL,long,bull,both,1.1,3.3,5000.0,1.0,0.4907599091529846,2026-03-23,106.35247802734375,0.4907599091529846,0.4907599091529846,,2026-03-23
11,2026-03-24,MID150,long,bull,both,1.1,3.3,5000.0,1.0,0.45900505781173706,2026-03-23,0.7131506204605103,0.45900505781173706,0.45900505781173706,,2026-03-23
12,2026-03-24,772GS2055-GS,long,bull,both,1.1,2.2,5000.0,1.0,0.42703551054000854,2026-03-23,2.5828540325164795,0.42703551054000854,0.42703551054000854,,2026-03-23
13,2026-03-24,ARISTO-SM,long,bull,both,1.1,2.2,5000.0,1.0,0.42703551054000854,2026-03-23,4.218707084655762,0.42703551054000854,0.42703551054000854,,2026-03-23
14,2026-03-24,ECOLINE-SM,long,bull,both,1.1,2.2,5000.0,1.0,0.42703551054000854,2026-03-23,7.038975715637207,0.42703551054000854,0.42703551054000854,,2026-03-23
15,2026-03-24,MUTHOOTMF,long,bull,both,1.1,3.3,5000.0,1.0,0.41281068325042725,2026-03-23,7.5119853019714355,0.41281068325042725,0.41281068325042725,,2026-03-23
16,2026-03-24,MVKAGRO-SM,long,bull,both,1.1,3.3,5000.0,1.0,0.4128057360649109,2026-03-23,35.038536071777344,0.4128057360649109,0.4128057360649109,,2026-03-23
17,2026-03-24,TEAMGTY,short,bear,both,1.1,1.65,5000.0,1.0,0.3865601420402527,2026-03-23,20.904714584350586,0.3865601420402527,0.3865601420402527,,2026-03-23
18,2026-03-24,CHENNPETRO,short,bear,both,1.1,2.2,5000.0,1.0,0.24362808465957642,2026-03-23,61.91352844238281,0.24362808465957642,0.24362808465957642,,2026-03-23
19,2026-03-24,COALINDIA,short,bear,both,1.1,2.2,5000.0,1.0,0.2177768349647522,2026-03-23,12.927162170410156,0.2177768349647522,0.2177768349647522,,2026-03-23
20,2026-03-24,DWARKESH,short,bear,both,1.1,1.65,5000.0,1.0,0.21672981977462769,2026-03-23,2.0235207080841064,0.21672981977462769,0.21672981977462769,,2026-03-23
