Ticker,Kind,Basis,PivotIdx1,PivotIdx2,ConfirmIdx,SignalDate,EntryIdx,EntryDate,PriceAtPivot1,PriceAtPivot2,RSIAtPivot1,RSIAtPivot2,CloseConfirm,VolumeConfirm,ATRMult,ATRPeriod,LookbackBars,SecondPointLookback
935LTF29-N5,bearish,extreme,145,155,155,2026-03-04,156,2026-03-05,1150.0,1160.0,53.862295568997006,43.52671457219598,1084.99,30.0,1.1,14,252,5
ACUTAAS,bearish,close,235,250,250,2026-03-04,251,2026-03-05,2050.0,2097.3,71.68146196767768,57.261083157540284,2097.3,129112.0,1.1,14,252,5
AEROFLEX,bearish,close,242,248,250,2026-03-04,251,2026-03-05,228.36,234.93,73.52628372871618,71.89747111759843,218.56,605938.0,1.1,14,252,5
AMBER,bearish,close,241,248,250,2026-03-04,251,2026-03-05,7894.0,7974.0,79.78880739111155,72.06235511343488,7655.0,46751.0,1.1,14,252,5
BAJAJCON,bearish,close,237,246,250,2026-03-04,251,2026-03-05,378.3,397.05,69.64958838421501,68.93624634781766,370.35,182835.0,1.1,14,252,5
BALRAMCHIN,bearish,close,235,248,250,2026-03-04,251,2026-03-05,467.0,470.6,69.93150903866096,61.41819808925959,453.45,74341.0,1.1,14,252,5
CINELINE,bearish,extreme,240,245,250,2026-03-04,251,2026-03-05,88.96,92.0,55.304511097699546,54.24516111660475,85.82,102.0,1.1,14,252,5
INDOTECH,bearish,close,244,247,250,2026-03-04,251,2026-03-05,1559.8,1577.7,61.73796441658592,61.52168656254087,1418.0,8092.0,1.1,14,252,5
INGERRAND,bearish,close,245,249,250,2026-03-04,251,2026-03-05,3955.0,3980.0,75.32816866309923,70.90615017966428,3821.1,2588.0,1.1,14,252,5
JAMNAAUTO,bearish,close,239,248,250,2026-03-04,251,2026-03-05,145.18,147.43,68.62610972473959,63.69204589439713,139.39,2390451.0,1.1,14,252,5
MANINDS,bearish,close,236,248,250,2026-03-04,251,2026-03-05,434.95,461.95,70.43053813682559,69.4685190053668,409.35,508283.0,1.1,14,252,5
MOTISONS,bearish,close,238,249,250,2026-03-04,251,2026-03-05,15.91,15.93,66.06775080372378,60.720829612227945,14.77,1276455.0,1.1,14,252,5
SACHEEROME-ST,bearish,close,173,177,178,2026-03-04,179,2026-03-05,394.35,395.0,62.17296417366428,59.48207093798604,372.25,600.0,1.1,14,252,5
SETCO,bearish,close,232,250,250,2026-03-04,251,2026-03-05,16.38,17.3,67.50756040872673,64.9412688093972,17.3,181587.0,1.1,14,252,5
SHILCTECH,bearish,extreme,60,67,69,2026-03-04,70,2026-03-05,4100.0,4117.9,58.964693367009765,58.19004476401014,3777.5,17113.0,1.1,14,252,5
SIGNPOST,bearish,close,236,248,250,2026-03-04,251,2026-03-05,249.61,251.91,74.37090491000455,70.61459505300385,241.3,11392.0,1.1,14,252,5
SSFL-SM,bearish,close,238,246,249,2026-03-04,250,2026-03-05,137.7,140.0,68.2374778785341,64.73983458152756,123.0,2000.0,1.1,14,252,5
SUYOG,bearish,close,237,248,250,2026-03-04,251,2026-03-05,685.7,708.5,74.78394511744463,68.08495512905415,651.4,10315.0,1.1,14,252,5
TATASTEEL,bearish,close,235,246,250,2026-03-04,251,2026-03-05,208.01,214.64,69.04683510534012,67.5734202441511,199.25,13807928.0,1.1,14,252,5
TMCV,bearish,close,64,75,77,2026-03-04,78,2026-03-05,498.15,505.3,73.57892239019306,67.34927002559576,478.95,3703496.0,1.1,14,252,5
UNIHEALTH-ST,bearish,close,243,247,248,2026-03-04,249,2026-03-05,333.3,342.0,70.62462861686545,68.97770667197904,315.9,8000.0,1.1,14,252,5
