Ticker,Kind,Basis,PivotIdx1,PivotIdx2,ConfirmIdx,SignalDate,EntryIdx,EntryDate,PriceAtPivot1,PriceAtPivot2,RSIAtPivot1,RSIAtPivot2,CloseConfirm,VolumeConfirm,ATRMult,ATRPeriod,LookbackBars,SecondPointLookback
96IIFL28-N5,bearish,close,350,368,370,2026-03-05,371,2026-03-06,995.97,997.0,52.171359697018964,51.02870693494958,995.01,70.0,1.1,14,252,5
ATUL,bearish,close,368,370,371,2026-03-05,372,2026-03-06,6674.0,6700.0,63.10465501057377,61.317636088660514,6465.0,1921.0,1.1,14,252,5
BALRAMCHIN,bearish,close,355,371,371,2026-03-05,372,2026-03-06,467.0,482.5,69.93150861161226,61.40579524287884,482.5,617465.0,1.1,14,252,5
ENRIN,bearish,close,165,173,177,2026-03-05,178,2026-03-06,2809.3,2920.3,66.66081887685027,65.8990989420728,2857.0,127113.0,1.1,14,252,5
MKPL,bearish,extreme,354,370,371,2026-03-05,372,2026-03-06,5.75,5.79,47.61500547365019,36.692895672201715,4.93,32232.0,1.1,14,252,5
RAINBOW,bearish,extreme,360,371,371,2026-03-05,372,2026-03-06,1244.3,1250.0,53.993172442685896,46.17454660062044,1188.5,37145.0,1.1,14,252,5
ACCELYA,bullish,extreme,365,369,371,2026-03-05,372,2026-03-06,1145.0,1140.0,34.07531801140192,38.48312591602325,1181.4,1811.0,1.1,14,252,5
AKSHARCHEM,bullish,close,341,370,371,2026-03-05,372,2026-03-06,208.71,204.99,25.378749285998225,31.92547846790481,209.72,512.0,1.1,14,252,5
APS-SM,bullish,close,344,370,371,2026-03-05,372,2026-03-06,301.25,290.0,22.906963233020974,32.86161093668342,304.0,5500.0,1.1,14,252,5
ASPINWALL,bullish,close,343,369,370,2026-03-05,371,2026-03-06,214.75,212.0,42.031836929853036,42.96015819768743,213.98,10.0,1.1,14,252,5
ATLASCYCLE,bullish,close,289,294,295,2026-03-05,296,2026-03-06,88.1,86.0,32.08704902325498,35.00378986827354,89.87,930.0,1.1,14,252,5
BIRLACABLE,bullish,extreme,365,369,371,2026-03-05,372,2026-03-06,134.0,132.5,47.5206379611916,52.383908787397665,144.0,19432.0,1.1,14,252,5
CAPILLARY,bullish,close,59,69,71,2026-03-05,72,2026-03-06,525.75,504.65,27.523694428340264,30.802213793363734,511.75,17704.0,1.1,14,252,5
